CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male
-0.5522388059701493,36,1,0.4706002401675156,2,1,0,0.42017377702219494,0,0,1,1
-0.7611940298507462,52,5,0.18659431870956328,1,1,1,-0.5942254314028741,1,1,0,1
-0.3582089552238806,53,2,0.1895208119065928,1,1,1,-0.5284512261699469,1,0,0,0
-0.5746268656716418,41,2,0.02243618670141317,1,0,0,0.26541681240408493,0,0,1,1
-1.291044776119403,35,2,0.12450119174981954,1,1,0,0.9702167137113196,0,0,0,0
-0.417910447761194,60,7,0.19358045455086725,1,0,1,-0.7102613922616893,0,0,1,1
0.44776119402985076,44,2,-0.761480032314815,2,0,0,-0.5534821915333346,0,0,1,0
1.462686567164179,22,7,0.18499346308145193,1,1,1,0.8671590039806167,0,0,1,1
-0.04477611940298507,24,8,-0.761480032314815,2,0,0,-0.07705389389841621,0,0,0,1
0.7611940298507462,48,7,0.3495690835716518,1,1,0,-0.06752358786317833,1,1,0,0
-1.0671641791044777,30,6,-0.761480032314815,2,1,0,0.8172385566005169,0,0,0,1
0.8208955223880597,31,7,0.16051495939025526,1,1,1,0.6012078175139257,0,0,0,1
-0.3283582089552239,27,4,0.43971087140320625,1,1,1,1.0139580385498923,0,0,1,1
1.4776119402985075,29,1,-0.761480032314815,2,0,0,0.5366912081491158,0,0,0,1
-0.3208955223880597,32,7,-0.19841357510530835,1,1,1,0.5257954658500543,0,0,0,1
0.208955223880597,47,5,-0.761480032314815,2,1,1,0.8095593243509533,0,0,0,0
-0.17164179104477612,34,8,-0.761480032314815,2,1,1,0.8171995267117789,0,0,1,1
-0.35074626865671643,48,10,0.4161361296052215,1,0,1,0.3383855271277419,0,0,1,0
-0.6119402985074627,57,5,-0.08327669152951991,1,0,1,0.03523255499282106,0,1,0,0
0.23134328358208955,33,9,-0.761480032314815,2,1,1,-0.624168165967487,0,0,0,0
-0.3805970149253731,43,8,-0.761480032314815,3,0,1,0.10898115600889405,1,0,0,0
0.7313432835820896,52,6,0.08045032035914812,1,1,0,0.2646639624408469,1,1,0,0
0.05223880597014925,56,9,0.20828750282817302,1,1,0,-0.007012014268778411,1,0,0,0
0.27611940298507465,45,0,-0.3087825976322943,1,1,0,0.9921121763724082,1,0,1,0
0.03731343283582089,50,9,-0.761480032314815,2,0,0,-0.6405623454828684,0,0,0,1
-0.373134328358209,32,7,0.6856346984399764,2,1,0,0.13810964984777466,0,1,0,1
-0.05970149253731343,32,3,0.3091498684155273,1,1,1,-0.8741692395435281,0,0,1,1
1.2462686567164178,38,9,0.196920127379034,2,1,1,0.8264733941811672,0,0,0,1
0.20149253731343283,47,10,0.7939845934293627,2,1,0,0.9249779218134264,1,0,0,1
0.3656716417910448,33,9,0.3941564460723021,1,1,0,0.9190116341339248,0,0,0,1
-0.08208955223880597,38,3,-0.761480032314815,2,1,0,0.16539194863707307,0,0,0,0
0.6044776119402985,22,5,-0.761480032314815,2,1,1,0.17287267731188258,0,0,0,1
-0.34328358208955223,25,3,0.39318797307265874,3,1,0,-0.55609333174605,1,0,1,0
-0.22388059701492538,47,6,0.35348629910758206,1,0,0,-0.00011043222425507544,0,0,1,0
0.8134328358208955,33,6,0.3200712386238502,2,1,0,0.4938246000357521,0,0,0,0
0.23134328358208955,38,7,0.0951675531931562,2,1,0,0.02512554169534305,0,0,0,1
